第	B
三	I
章	E
，	S
区	B
域	E
基	B
础	E
地	B
质	E
背	B
景	E
条	B
件	E
。	S

第	B
一	I
节	E
，	S
地	B
形	E
地	B
貌	E
。	S

南	B
昌	E
地	B
处	E
赣	B
江	E
抚	B
河	E
尾	B
闾	E
，	S
东	B
北	E
滨	B
临	E
鄱	B
阳	I
湖	E
，	S
西	B
北	E
为	S
梅	B
岭	I
山	I
地	E
。	S

地	B
势	E
总	B
体	E
西	B
北	E
高	S
、	S
南	B
东	E
低	S
，	S
依	B
次	E
发	B
育	E
低	B
山	I
丘	I
陵	E
、	S
岗	B
地	E
、	S
平	B
原	E
，	S
呈	B
现	E
层	B
状	E
地	B
貌	E
特	B
征	E
。	S

以	S
赣	B
江	E
为	S
界	S
，	S
西	S
及	S
西	B
北	I
部	E
为	S
低	B
山	I
丘	I
陵	E
与	S
岗	B
地	E
，	S
地	B
面	I
标	I
高	E
一	B
般	E
为	S
4	B
0	I
～	I
5	I
0	I
0	I
m	E
，	S
梅	B
岭	I
主	I
峰	E
海	B
拔	E
标	B
高	E
为	S
8	B
4	I
1	I
.	I
4	I
m	E
。	S

县	B
域	E
内	S
地	B
层	E
发	B
育	E
不	B
全	E
，	S
除	S
第	B
四	I
纪	E
及	S
下	S
第	B
三	I
纪	E
广	B
泛	E
发	B
育	E
外	S
，	S
自	B
青	I
白	I
口	I
纪	E
、	S
白	B
垩	I
纪	E
仅	S
局	B
部	E
零	B
星	E
出	B
露	E
。	S

现	S
从	S
老	S
至	S
新	S
分	B
述	E
。	S

根	B
据	E
构	B
造	I
地	I
层	I
分	I
区	E
及	S
岩	B
石	I
地	I
层	I
单	I
位	I
群	E
、	S
组	S
建	B
立	E
原	B
则	E
，	S
仅	S
出	B
露	E
牛	B
头	I
岭	I
组	E
与	S
安	B
乐	I
林	I
组	E
两	B
个	E
组	S
，	S
属	S
扬	B
子	I
地	I
层	I
区	E
。	S

（	S
1	S
）	S
牛	B
头	I
岭	I
组	E
(	S
P	B
t	I
3	I
1	I
a	I
n	E
)	S
依	B
据	E
前	B
人	E
地	B
质	E
资	B
料	E
与	S
本	B
次	E
工	B
作	E
成	B
果	E
，	S
根	B
据	E
岩	B
性	I
组	I
合	E
特	B
征	E
分	S
为	S
昌	B
北	I
千	I
枚	I
岩	E
与	S
梅	B
岭	I
片	I
麻	I
岩	E
，	S
呈	S
北	B
东	I
向	E
展	B
布	E
。	S

昌	B
北	I
千	I
枚	I
岩	E
仅	S
出	B
露	E
于	S
南	B
昌	E
北	B
西	E
之	S
张	B
家	I
村	I
-	I
袁	I
家	I
-	I
李	I
家	I
边	I
-	I
乐	I
化	E
一	B
线	E
以	B
南	E
至	S
赣	B
江	E
北	B
支	E
之	B
间	E
。	S

呈	S
北	B
东	I
向	E
展	B
布	E
，	S
出	B
露	E
面	B
积	E
6	B
2	I
.	I
0	I
5	I
k	I
m	I
2	E
，	S
占	S
规	B
划	I
区	E
境	B
内	E
规	B
划	I
区	E
的	S
总	B
面	I
积	E
4	B
.	I
4	I
3	I
%	E
。	S

昌	B
北	I
千	I
枚	I
岩	E
主	B
要	E
由	S
凝	B
灰	I
质	I
千	I
枚	I
岩	E
、	S
片	B
状	I
绢	I
云	I
千	I
枚	I
岩	E
及	S
千	B
枚	I
状	I
板	I
岩	E
所	S
组	B
成	E
。	S

至	S
于	S
牛	B
头	I
岭	I
组	E
(	S
昌	B
北	I
千	I
枚	I
岩	E
)	S
的	S
时	B
代	E
问	B
题	E
，	S
据	S
邻	B
区	E
资	B
料	E
，	S
因	S
它	S
位	B
于	E
震	B
旦	I
系	I
硐	I
门	I
组	E
之	S
下	S
，	S
故	S
暂	S
归	S
之	S
为	S
前	B
震	I
旦	I
纪	E
。	S

呈	S
北	B
东	I
向	E
展	B
布	E
，	S
出	B
露	E
面	B
积	E
1	B
6	I
.	I
6	I
4	I
k	I
m	I
2	E
，	S
占	S
规	B
划	I
区	E
的	S
总	B
面	I
积	E
1	B
.	I
1	I
8	I
%	E
。	S

出	B
露	E
面	B
积	E
0	B
.	I
7	I
3	I
k	I
m	I
2	E
。	S

为	S
一	B
套	E
海	B
相	I
碎	I
屑	I
岩	E
建	B
造	E
。	S

厚	B
度	E
大	B
于	E
1	B
2	I
8	I
9	I
m	E
。	S

其	B
中	E
夹	S
少	B
量	E
变	B
细	I
碧	I
岩	E
和	S
石	B
英	I
角	I
斑	I
岩	E
。	S

含	S
较	S
丰	B
富	E
的	S
微	B
古	I
植	I
物	I
化	I
石	E
，	S
本	S
组	S
岩	B
性	E
稳	B
定	E
，	S
由	S
西	S
而	S
东	S
增	S
厚	S
。	S

2	S
、	S
白	B
垩	I
纪	E
地	B
层	E
白	B
垩	I
纪	E
地	B
层	E
零	B
星	E
分	B
布	E
于	S
规	B
划	I
区	E
内	S
北	B
西	I
部	E
，	S
出	B
露	E
面	B
积	E
1	B
1	I
k	I
m	I
2	E
，	S
占	S
规	B
划	I
区	E
的	S
总	B
面	I
积	E
0	B
.	I
7	I
8	I
%	E
。	S

根	B
据	E
构	B
造	I
地	I
层	I
分	I
区	E
及	S
岩	B
石	I
地	I
层	I
单	I
位	I
群	E
、	S
组	S
建	B
立	E
原	B
则	E
，	S
仅	S
出	B
露	E
莲	B
荷	I
组	E
与	S
河	B
口	I
组	E
两	B
个	E
组	S
。	S

（	S
1	S
）	S
河	B
口	I
组	E
(	S
K	S
2	S
h	S
)	S
仅	S
零	B
星	E
出	B
露	E
于	S
云	B
塘	I
村	E
、	S
黄	B
家	E
、	S
金	B
仙	I
寺	E
、	S
虎	B
心	I
山	E
、	S
生	B
米	I
镇	I
上	I
下	I
洲	E
等	S
地	B
区	E
。	S

为	S
一	B
套	E
河	B
湖	I
相	I
紫	I
红	I
色	I
碎	I
屑	I
岩	E
建	B
造	E
。	S

厚	B
度	E
大	B
于	E
1	B
0	I
6	I
2	I
m	E
。	S

下	S
与	S
下	B
伏	E
牛	B
头	I
岭	I
组	E
呈	S
沉	B
积	I
不	I
整	I
合	I
接	I
触	E
。	S

（	S
2	S
）	S
莲	B
荷	I
组	E
(	S
K	B
2	I
l	E
)	S
仅	S
零	B
星	E
出	B
露	E
于	S
生	B
米	I
镇	I
上	I
下	I
洲	E
等	S
地	B
区	E
。	S

但	S
据	S
钻	B
孔	E
和	S
地	B
震	E
剖	B
面	E
资	B
料	E
，	S
在	S
第	B
四	I
纪	I
覆	I
盖	I
层	E
以	S
下	S
之	S
盆	B
地	E
中	S
，	S
尚	B
有	E
广	B
泛	E
分	B
布	E
。	S

为	S
一	B
套	E
河	B
湖	I
相	I
紫	I
红	I
色	I
碎	I
屑	I
岩	E
建	B
造	E
。	S

3	S
、	S
古	B
近	I
纪	I
地	I
层	E
。	S

古	B
近	I
纪	I
地	I
层	E
主	B
要	E
分	B
布	E
于	S
规	B
